Folder Name,Views and Downloads,Minutes Delivered,Average Minutes Delivered,Percent Completed,Last View Time,Last Position
Lecture5,1,0.03560315,0.03560315,1,10/11/20 1:15,2.136189
Lecture5,1,0.03537605,0.03537605,2,10/11/20 1:15,2.122563
Lecture5,1,0.022720517,0.022720517,1,10/11/20 1:15,1.363231
Lecture5,1,0.023881083,0.023881083,1,10/11/20 1:15,1.432865
Background,3,5.646522767,1.882174256,100,10/1/20 20:18,117.168265
Background,3,17.40415628,5.801385428,100,10/3/20 17:19,462.875236
Lecture1,4,24.28152228,6.070380571,100,9/26/20 16:06,1188.70796
Lecture1,4,9.774312917,2.443578229,100,9/26/20 16:19,517.851404
Lecture1,3,6.7393372,2.246445733,100,9/26/20 16:52,404.306024
Lecture1,3,14.55940978,4.853136594,97,9/26/20 17:12,869.623056
Lecture1,3,7.677861733,2.559287244,100,9/26/20 17:19,440.399245
Lecture3,2,21.08911035,10.54455518,100,10/4/20 11:34,1196.814541
Lecture3,2,6.859438767,3.429719383,43,10/4/20 15:27,1653.881992
Lecture3,2,26.2322826,13.1161413,98,10/4/20 12:18,1504.737396
Lecture3,1,3.89917745,3.89917745,100,10/4/20 15:37,236.263974
Lecture3,1,5.92580725,5.92580725,74,10/4/20 15:51,488.51445
Lecture3,4,2.147563767,0.536890942,53,10/4/20 16:44,206.056386
Lecture3,2,1.429583767,0.714791883,100,10/4/20 17:35,87.135339
Lecture3,2,27.53795198,13.76897599,87,10/4/20 18:06,1881.031015
Lecture4,1,16.51849127,16.51849127,99,10/7/20 9:54,7.98273
Lecture4,2,7.768071433,3.884035717,100,10/7/20 10:18,383.294655
Lecture4,2,20.37576317,10.18788158,88,10/7/20 10:43,1459.285923
Lecture4,1,22.88052612,22.88052612,92,10/7/20 11:38,1571.78889
Lecture4,2,7.9607615,3.98038075,92,10/7/20 11:49,26.721493
Background,1,3.748627733,3.748627733,100,9/28/20 9:30,213.57613
Background,2,15.98912385,7.994561925,100,9/28/20 10:09,855.06661
Lecture2,2,3.9698334,1.9849167,19,9/30/20 20:10,218.728921
Lecture2,1,0.550218517,0.550218517,6,9/30/20 20:10,33.104908
Lecture2,1,0.060612183,0.060612183,1,10/1/20 10:32,3.636731
Lecture3,2,22.4945222,11.2472611,100,10/4/20 19:38,26.869133
Lecture3,3,28.79504892,9.598349639,98,10/5/20 9:09,1671.45778
Lecture3,1,27.09064532,27.09064532,100,10/4/20 23:09,4.199243
Lecture3,1,5.12232895,5.12232895,100,10/5/20 9:16,72.103596
Lecture3,1,8.13232575,8.13232575,100,10/5/20 9:22,489.803977
Lecture3,1,4.592573183,4.592573183,100,10/5/20 16:22,6.656028
Lecture3,2,1.521120433,0.760560217,100,10/5/20 9:37,5.473534
Lecture3,3,30.71556522,10.23852174,95,10/5/20 18:39,1319.525484
Lecture4,1,17.14894203,17.14894203,100,10/6/20 20:32,1002.929914
Lecture4,3,7.7693939,2.589797967,100,10/7/20 12:05,452.368547
Lecture4,2,25.04437828,12.52218914,100,10/7/20 13:28,4.732795
Lecture4,1,28.19838167,28.19838167,100,10/7/20 21:31,1571.817595
Lecture4,1,8.1780597,8.1780597,100,10/7/20 21:38,495.236139
Lecture5,2,0.3903058,0.1951529,4,10/9/20 13:42,24.043602
Lecture1,4,24.53918287,6.134795717,100,10/5/20 21:48,938.101115
Lecture1,2,10.31500025,5.157500125,100,10/5/20 22:08,517.795813
Lecture1,1,6.724401833,6.724401833,100,10/5/20 22:58,404.329069
Lecture1,1,14.13223002,14.13223002,98,10/6/20 0:24,869.656937
Lecture1,2,6.686732233,3.343366117,86,10/6/20 0:33,433.389721
Lecture2,2,22.48813195,11.24406598,100,9/30/20 22:37,1280.457643
Lecture2,1,10.90541433,10.90541433,100,9/30/20 23:03,625.072155
Lecture2,1,17.12570367,17.12570367,100,9/30/20 23:58,969.389538
Lecture2,1,9.172140683,9.172140683,100,10/1/20 0:07,532.541067
Lecture3,1,20.58375443,20.58375443,100,10/6/20 1:40,1196.446076
Lecture3,2,6.627759267,3.313879633,24,10/8/20 1:07,397.249803
Lecture3,2,16.6049496,8.3024748,70,10/8/20 0:24,1357.242665
Lecture3,2,4.233765017,2.116882508,100,10/8/20 1:20,236.487507
Lecture3,4,7.637735033,1.909433758,88,10/8/20 1:42,489.889634
Lecture3,4,5.964280333,1.491070083,100,10/8/20 1:42,59.596919
Lecture3,2,1.440417883,0.720208942,100,10/8/20 1:56,86.738104
Lecture3,2,23.54923215,11.77461608,75,10/8/20 2:40,1403.036855
Lecture4,1,5.519573483,5.519573483,39,10/8/20 3:26,987.976167
Lecture4,1,7.347213567,7.347213567,98,10/8/20 3:27,452.497407
Lecture4,1,8.5425588,8.5425588,36,10/8/20 3:35,513.336234
Background,1,0.163877467,0.163877467,7,10/4/20 23:00,89.387682
Background,2,1.3445439,0.67227195,12,10/4/20 23:00,249.039564
Lecture1,3,20.13201209,6.710670698,100,9/28/20 20:53,1186.978166
Lecture1,1,8.626502553,8.626502553,100,9/28/20 21:08,517.5901532
Lecture1,1,6.735508922,6.735508922,100,9/28/20 21:19,404.1305353
Lecture1,1,14.4884907,14.4884907,100,9/28/20 21:29,869.6000901
Lecture1,1,7.338660007,7.338660007,100,9/28/20 21:45,440.3196004
Lecture2,1,37.138224,37.138224,100,9/30/20 20:52,1270.055314
Lecture3,3,60.35868608,20.11956203,100,10/8/20 12:59,1139.410421
Lecture3,1,27.8584625,27.8584625,100,10/6/20 6:18,1671.780657
Lecture3,3,51.60669245,17.20223082,100,10/6/20 6:02,1504.756721
Lecture3,4,12.05287012,3.013217529,100,10/9/20 15:10,16.371795
Lecture3,2,9.779765383,4.889882692,100,10/9/20 15:12,398.087324
